Article_Title,Year,Description,Revue,Volume,Number,Pages
Chemical composition of essential oil of Jatropha curcas L. leaves and its antioxidant and antimicrobial activities,2018,"Industrial crops and products 121, 405-410, 2018",Industrial crops and products,121,,405410
Influence of the counter ion on the properties of poly (o-toluidine) thin films and their Schottky diodes,2009,"Synthetic Metals 159 (3-4), 292-297, 2009",Synthetic Metals,159,34,292297
"Comparative study of sputtered and electrodeposited CI (S, Se) and CIGSe thin films",2007,"Thin Solid Films 515 (15), 5852-5856, 2007",Thin Solid Films,515,15,58525856
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,127
Combining FAO-56 model and ground-based remote sensing to estimate water consumptions of wheat crops in a semi-arid region,2007,"Agricultural water management 87 (1), 41-54, 2007",Agricultural water management,87,1,4154
Near real-time agriculture monitoring at national scale at parcel resolution: Performance assessment of the Sen2-Agri automated system in various cropping systems around the world,2019,"Remote sensing of environment 221, 551-568, 2019",Remote sensing of environment,221,,551568
OZCAR: The French Network of Critical Zone Observatories,2018,"Vadose Zone Journal 17 (1), 1-24, 2018",Vadose Zone Journal,17,1,124
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219235
Deriving daily evapotranspiration from remotely sensed instantaneous evaporative fraction over olive orchard in semi-arid Morocco,2008,"Journal of Hydrology 354 (1-4), 53-64, 2008",Journal of Hydrology,354,14,5364
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Intercomparison of four remote-sensing-based energy balance methods to retrieve surface evapotranspiration and water stress of irrigated fields in semi-arid climate,2014,"Hydrology and earth system sciences 18 (3), 1165-1188, 2014",Hydrology and earth system sciences,18,3,11651188
Improvement of FAO-56 method for olive orchards through sequential assimilation of thermal infrared-based estimates of ET,2008,"Agricultural Water Management 95 (3), 309-321, 2008",Agricultural Water Management,95,3,309321
Comparison of large aperture scintillometer and eddy covariance measurements: Can thermal infrared data be used to capture footprint-induced differences?,2007,"Journal of Hydrometeorology 8 (2), 144-159, 2007",Journal of Hydrometeorology,8,2,144159
The use of the scintillation technique for monitoring seasonal water consumption of olive orchards in a semi-arid region,2007,"Agricultural Water Management 89 (3), 173-184, 2007",Agricultural Water Management,89,3,173184
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Monitoring water stress using time series of observed to unstressed surface temperature difference,2007,"Agricultural and Forest Meteorology 146 (3-4), 159-172, 2007",Agricultural and Forest Meteorology,146,34,159172
Impact of sowing date on yield and water use efficiency of wheat analyzed through spatial modeling and FORMOSAT-2 images,2015,"Remote Sensing 7 (5), 5951-5979, 2015",Remote Sensing,7,5,59515979
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,36633684
"Partitioning evapotranspiration of a drip-irrigated wheat crop: Inter-comparing eddy covariance-, sap flow-, lysimeter-and FAO-based methods",2019,"Agricultural and forest meteorology 265, 310-326, 2019",Agricultural and forest meteorology,265,,310326
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
"Combining stable isotopes, Eddy Covariance system and meteorological measurements for partitioning evapotranspiration, of winter wheat, into soil evaporation and plant …",2016,"Agricultural Water Management 177, 181-192, 2016",Agricultural Water Management,177,,181192
Combining scintillometer measurements and an aggregation scheme to estimate area-averaged latent heat flux during the AMMA experiment,2009,"Journal of Hydrology 375 (1-2), 217-226, 2009",Journal of Hydrology,375,12,217226
Low cost biosorbent “banana peel” for the removal of phenolic compounds from olive mill wastewater: Kinetic and equilibrium studies,2009,"Journal of hazardous materials 166 (1), 117-125, 2009",Journal of hazardous materials,166,1,117125
Treatment of highly concentrated tannery wastewater using electrocoagulation: Influence of the quality of aluminium used for the electrode,2016,"Journal of Hazardous Materials 319, 69-77, 2016",Journal of Hazardous Materials,319,,6977
Heavy metal contamination from mining sites in South Morocco: monitoring metal content and toxicity of soil runoff and groundwater,2008,"Environmental monitoring and assessment 136, 147-160, 2008",Environmental monitoring and assessment,136,,147160
Removal of organic pollutants and nutrients from olive mill wastewater by a sand filter,2009,"Journal of environmental management 90 (8), 2771-2779, 2009",Journal of environmental management,90,8,27712779
Removal of Cr (III) from chrome tanning wastewater by adsorption using two natural carbonaceous materials: Eggshell and powdered marble,2016,"Journal of environmental management 166, 589-595, 2016",Journal of environmental management,166,,589595
Accumulation of heavy metals in metallophytes from three mining sites (Southern Centre Morocco) and evaluation of their phytoremediation potential,2019,"Ecotoxicology and Environmental Safety 169, 150-160, 2019",Ecotoxicology and Environmental Safety,169,,150160
Reuse of urban wastewater treated by a combined stabilisation pond system in Benslimane (Morocco),2002,"Urban water 4 (4), 373-378, 2002",Urban water,4,4,373378
Domestic wastewater disinfection by combined treatment using multi-soil-layering system and sand filters (MSL–SF): A laboratory pilot study,2016,"Ecological Engineering 91, 294-301, 2016",Ecological Engineering,91,,294301
Soil properties and agro-physiological responses of alfalfa (Medicago sativa L.) irrigated by treated domestic wastewater,2018,"Agricultural water management 202, 231-240, 2018",Agricultural water management,202,,231240
Caractérisation des margines issues d’une huilerie moderne et essais de leur traitement par coagulation-floculation par la chaux et le sulfate d’aluminium.,2008,"Revue des Sciences de l'Eau 21 (1), 53-67, 2008",Revue des Sciences de l'Eau,21,1,5367
Application of constructed wetlands for domestic wastewater treatment in an arid climate,1998,"Water Science and Technology 38 (1), 379-387, 1998",Water Science and Technology,38,1,379387
Detoxification of olive mill wastewaters by Moroccan yeast isolates,2008,"Biodegradation 19, 337-346, 2008",Biodegradation,19,,337346
Phytoremediation of domestic wastewater using a hybrid constructed wetland in mountainous rural area,2018,"International Journal of Phytoremediation 20 (1), 75-87, 2018",International Journal of Phytoremediation,20,1,7587
Two-stage vertical flow multi-soil-layering (MSL) technology for efficient removal of coliforms and human pathogens from domestic wastewater in rural areas under arid climate,2018,"International journal of hygiene and environmental health 221 (1), 64-80, 2018",International journal of hygiene and environmental health,221,1,6480
Removal of phenolic compounds from olive mill wastewater by adsorption onto wheat bran,2014,"Desalination and Water Treatment 52 (13-15), 2875-2885, 2014",Desalination and Water Treatment,52,1315,28752885
Wastewater treatment by stabilization pond: Marrakesh experiment,1995,"Water Science and Technology 31 (12), 75-80, 1995",Water Science and Technology,31,12,7580
Composites with alginate beads: A novel design of nano-adsorbents impregnation for large-scale continuous flow wastewater treatment pilots,2020,"Saudi Journal of Biological Sciences 27 (10), 2499-2508, 2020",Saudi Journal of Biological Sciences,27,10,24992508
Reuse study of sustainable wastewater in agroforestry domain of Marrakesh city,2019,"Journal of the Saudi Society of Agricultural Sciences 18 (3), 288-293, 2019",Journal of the Saudi Society of Agricultural Sciences,18,3,288293
Impact of fertilization by natural manure on the microbial quality of soil: molecular approach,2017,"Saudi journal of biological sciences 24 (6), 1437-1443, 2017",Saudi journal of biological sciences,24,6,14371443
Wastewater treatment by stabilization ponds with and without macrophytes under arid climate,1993,"Water Science and Technology 28 (10), 177-181, 1993",Water Science and Technology,28,10,177181
"Monitoring wheat phenology and irrigation in Central Morocco: On the use of relationships between evapotranspiration, crops coefficients, leaf area index and remotely-sensed …",2006,"Agricultural Water Management 79 (1), 1-27, 2006",Agricultural Water Management,79,1,127
"Performance assessment of AquaCrop model for estimating evapotranspiration, soil water content and grain yield of winter wheat in Tensift Al Haouz (Morocco): Application to …",2016,"Agricultural Water Management 163, 219-235, 2016",Agricultural Water Management,163,,219235
Retrieving surface soil moisture at high spatio-temporal resolution from a synergy between Sentinel-1 radar and Landsat thermal data: A study case over bare soil,2018,"Remote sensing of environment 211, 321-337, 2018",Remote sensing of environment,211,,321337
Assessment of reference evapotranspiration methods in semi-arid regions: can weather forecast data be used as alternate of ground meteorological parameters?,2010,"Journal of Arid Environments 74 (12), 1587-1596, 2010",Journal of Arid Environments,74,12,15871596
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Assessing the impact of global climate changes on irrigated wheat yields and water requirements in a semi-arid environment of Morocco,2019,"Scientific reports 9 (1), 19142, 2019",Scientific reports,9,1,19142
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Normalizing land surface temperature data for elevation and illumination effects in mountainous areas: A case study using ASTER data over a steep-sided valley in Morocco,2017,"Remote Sensing of Environment 189, 25-39, 2017",Remote Sensing of Environment,189,,2539
Performance metrics for soil moisture downscaling methods: Application to DISPATCH data in central Morocco,2015,"Remote sensing 7 (4), 3783-3807, 2015",Remote sensing,7,4,37833807
Evaluation of backscattering models and support vector machine for the retrieval of bare soil moisture from Sentinel-1 data,2019,"Remote Sensing 12 (1), 72, 2019",Remote Sensing,12,1,72
Modeling soil evaporation efficiency in a range of soil and atmospheric conditions using a meta‐analysis approach,2016,"Water Resources Research 52 (5), 3663-3684, 2016",Water Resources Research,52,5,36633684
Monitoring of irrigated wheat in a semi‐arid climate using crop modelling and remote sensing data: Impact of satellite revisit time frequency,2006,"International Journal of Remote Sensing 27 (6), 1093-1117, 2006",International Journal of Remote Sensing,27,6,10931117
"Partitioning evapotranspiration of a drip-irrigated wheat crop: Inter-comparing eddy covariance-, sap flow-, lysimeter-and FAO-based methods",2019,"Agricultural and forest meteorology 265, 310-326, 2019",Agricultural and forest meteorology,265,,310326
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
"Combining stable isotopes, Eddy Covariance system and meteorological measurements for partitioning evapotranspiration, of winter wheat, into soil evaporation and plant …",2016,"Agricultural Water Management 177, 181-192, 2016",Agricultural Water Management,177,,181192
Monitoring of wheat crops using the backscattering coefficient and the interferometric coherence derived from Sentinel-1 in semi-arid areas,2020,"Remote Sensing of Environment 251, 112050, 2020",Remote Sensing of Environment,251,,112050
"Assessment of equity and adequacy of water delivery in irrigation systems using remote sensing-based indicators in semi-arid region, Morocco",2013,"Water resources management 27, 4697-4714, 2013",Water resources management,27,,46974714
Potentiality of optical and radar satellite data at high spatio-temporal resolutions for the monitoring of irrigated wheat crops in Morocco,2010,"International Journal of Applied Earth Observation and Geoinformation 12 …, 2010",International Journal of Applied Earth Observation and Geoinformation,12,,
Performance of the two-source energy budget (TSEB) model for the monitoring of evapotranspiration over irrigated annual crops in North Africa,2017,"Agricultural Water Management 193, 71-88, 2017",Agricultural Water Management,193,,7188
A new irrigation priority index based on remote sensing data for assessing the networks irrigation scheduling,2013,"Agricultural Water Management 119, 1-9, 2013",Agricultural Water Management,119,,19
Toward a mathematical theory of Keller–Segel models of pattern formation in biological tissues,2015,"Mathematical Models and Methods in Applied Sciences 25 (09), 1663-1763, 2015",Mathematical Models and Methods in Applied Sciences,25,09,16631763
