Article_Title,Year,Description,Revue,Volume,Number,Pages
Parameter identification of five-phase induction machines with single layer windings,2014,"IEEE Transactions on Industrial Electronics 61 (10), 5139-5154, 2014",IEEE Transactions on Industrial Electronics,61,10,51395154
Investigation of sensorless capacitor voltage balancing technique for modular multilevel converters,2014,"IECON 2014-40th Annual Conference of the IEEE Industrial Electronics Society …, 2014",IECON,201440,,
Study of the thermal treatment of SiO2 aggregate,2014,"IOP Conference Series: Materials Science and Engineering 62 (1), 012002, 2014",IOP Conference Series: Materials Science and Engineering,62,1,012002
DC bus control of an advanced flywheel energy storage kinetic traction system for electrified railway industry,2013,"IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society …, 2013",IECON,201339,,
Spectroscopic properties of trivalent gadolinium in diphosphate CsYP2O7,1998,"Materials research bulletin 33 (4), 597-603, 1998",Materials research bulletin,33,4,597603
A multi-model based microservices identification approach,2021,"Journal of Systems Architecture 118, 102200, 2021",Journal of Systems Architecture,118,,102200
Ride-through capability enhancement of VSC-HVDC based wind farms using low speed flywheel energy storage system,2014,"2014 IEEE Applied Power Electronics Conference and Exposition-APEC 2014 …, 2014",,20142014,,
Polymorphism of new rubidium magnesium monophosphate,2010,"Journal of Solid State Chemistry 183 (9), 2082-2086, 2010",Journal of Solid State Chemistry,183,9,20822086
Zero-/low-speed operation of multiphase drive systems with modular multilevel converters,2019,"IEEE Access 7, 14353-14365, 2019",IEEE Access,7,,1435314365
"Synthesis, structural and dielectric properties of Ho-doped SrBi2Nb2O9 prepared by Co-precipitation method",2016,"Science China Materials 11 (59), 921-926, 2016",Science China Materials,11,59,921926
Structure and electric properties of cerium substituted SrBi1. 8Ce0. 2Nb2O9 and SrBi1. 8Ce0. 2Ta2O9 ceramics,2016,"Processing and Application of Ceramics 10 (3), 183-188, 2016",Processing and Application of Ceramics,10,3,183188
Automatic microservices identification from a set of business processes,2020,"Smart Applications and Data Analysis: Third International Conference, SADASC …, 2020","Smart Applications and Data Analysis: Third International Conference, SADASC …,",,,
"Dielectric properties of SrBi1. 8RE0. 2Nb2O9 (RE= Yb, Tm, Tb, Gd, Er, Sm and Ce) ceramics",2017,"Solid State Sciences 73, 51-56, 2017",Solid State Sciences,73,,5156
A dual three-phase induction machine based flywheel storage system driven by modular multilevel converters for fault ride through in HVDC systems,2015,"2015 IEEE PES Asia-Pacific Power and Energy Engineering Conference (APPEEC), 1-5, 2015",,2015,,15
New gadolinium based ferroelectric phases derived from the tetragonal tungsten bronze (TTB),2003,"Ferroelectrics 291 (1), 133-139, 2003",Ferroelectrics,291,1,133139
"Synthesis, structural characterization and luminescent properties of Tb3+-doped AgLaP2O7 phosphors",2018,"Ceramics International 44 (16), 19184-19190, 2018",Ceramics International,44,16,1918419190
A design example of an 8-pole radial AMB for flywheel energy storage,2012,"2012 XXth International Conference on Electrical Machines, 1153-1159, 2012",,2012,,11531159
Skeleton‐based human activity recognition for elderly monitoring systems,2018,"IET Computer Vision 12 (1), 16-26, 2018",IET Computer Vision,12,1,1626
An agent based traffic regulation system for the roadside air quality control,2017,"IEEE Access 5, 13192-13201, 2017",IEEE Access,5,,1319213201
A multi-agent based simulation model for rail–rail transshipment: An engineering approach for gantry crane scheduling,2017,"IEEE Access 5, 13142-13156, 2017",IEEE Access,5,,1314213156
"A machine learning-based methodology to predict learners’ dropout, success or failure in MOOCs",2019,"International Journal of Web Information Systems 15 (5), 489-509, 2019",International Journal of Web Information Systems,15,5,489509
Deep MRI segmentation: a convolutional method applied to Alzheimer disease detection,2019,"International Journal of Advanced Computer Science and Applications 10 (11), 2019",International Journal of Advanced Computer Science and Applications,10,11,
A multi-model based microservices identification approach,2021,"Journal of Systems Architecture 118, 102200, 2021",Journal of Systems Architecture,118,,102200
A service oriented information system: a model driven approach,2012,"2012 Eighth International Conference on Signal Image Technology and Internet …, 2012",,2012,,
An augmented reality approach to integrate practical activities in e-learning systems,2016,"International Journal of Advanced Computer Science and Applications 7 (2), 2016",International Journal of Advanced Computer Science and Applications,7,2,
Optimized control for medical image segmentation: improved multi-agent systems agreements using Particle Swarm Optimization,2021,"Journal of Ambient Intelligence and Humanized Computing, 1-19, 2021","Journal of Ambient Intelligence and Humanized Computing,",119,,
An agent based modeling for the gravity irrigation management,2013,"Procedia environmental sciences 19, 804-813, 2013",Procedia environmental sciences,19,,804813
A Fuzzy Logic Supported Multi-Agent System For Urban Traffic And Priority Link Control.,2021,"JUCS: Journal of Universal Computer Science 27 (10), 2021",JUCS: Journal of Universal Computer Science,27,10,
Utilization of a convolutional method for Alzheimer disease diagnosis,2020,"Machine Vision and Applications 31 (4), 25, 2020",Machine Vision and Applications,31,4,25
Decision support system for the analysis of traffic accident Big Data,2018,"2018 14th International Conference on Signal-Image Technology & Internet …, 2018",,201814,,
An improving agent-based engineering strategy for minimizing unproductive situations of cranes in a rail–rail transshipment yard,2018,"Simulation 94 (8), 681-705, 2018",Simulation,94,8,681705
Social intelligence framework: Extracting and analyzing opinions for social CRM,2015,"2015 IEEE/ACS 12th International Conference of Computer Systems and …, 2015",,201512,,
Multi-agent and fuzzy inference-based framework for traffic light optimization,2023,"International Journal of Interactive Multimedia and Artificial Intelligence …, 2023","International Journal of Interactive Multimedia and Artificial Intelligence …,",,,
Virtual reality and augmented reality at the service of increasing interactivity in MOOCs,2020,"Education and Information Technologies 25, 2871-2897, 2020",Education and Information Technologies,25,,28712897
Towards an agent based traffic regulation and recommendation system for the on-road air quality control,2016,"SpringerPlus 5 (1), 1-19, 2016",SpringerPlus,5,1,119
Toward a self-adaptive workflow management system through learning and prediction models,2017,"Arabian Journal for Science and Engineering 42, 897-912, 2017",Arabian Journal for Science and Engineering,42,,897912
A container terminal management system,2012,"Proceedings of the International Conference on Harbour Maritime and …, 2012","Proceedings of the International Conference on Harbour Maritime and …,",,,
Application of an integrated multi-criteria decision making AHP-TOPSIS methodology for ETL software selection,2016,"SpringerPlus 5 (1), 1-17, 2016",SpringerPlus,5,1,117
Comparison of fuzzy AHP and fuzzy TODIM methods for landfill location selection,2016,"SpringerPlus 5, 1-30, 2016",SpringerPlus,5,,130
An improved approach for association rule mining using a multi-criteria decision support system: a case study in road safety,2017,"European transport research review 9, 1-13, 2017",European transport research review,9,,113
A comprehensive literature review on community detection: Approaches and applications,2019,"Procedia Computer Science 151, 295-302, 2019",Procedia Computer Science,151,,295302
Multi-criteria decision support framework for sustainable implementation of effective green supply chain management practices,2016,"SpringerPlus 5, 1-24, 2016",SpringerPlus,5,,124
Irrigation scheduling of a classical gravity network based on the Covariance Matrix Adaptation–Evolutionary Strategy algorithm,2014,"Computers and electronics in agriculture 102, 64-72, 2014",Computers and electronics in agriculture,102,,6472
A decision-making approach based on fuzzy AHP-TOPSIS methodology for selecting the appropriate cloud solution to manage big data projects,2017,"International Journal of System Assurance Engineering and Management 8, 1237 …, 2017",International Journal of System Assurance Engineering and Management,8,,1237
An application of OLAP/GIS-Fuzzy AHP-TOPSIS methodology for decision making: Location selection for landfill of industrial wastes as a case study,2017,"KSCE Journal of Civil Engineering 21, 2074-2084, 2017",KSCE Journal of Civil Engineering,21,,20742084
Mining and prioritization of association rules for big data: multi-criteria decision analysis approach,2017,"Journal of Big Data 4, 1-21, 2017",Journal of Big Data,4,,121
An improved hybrid multi-criteria/multidimensional model for strategic industrial location selection: casablanca industrial zones as a case study,2015,"SpringerPlus 4 (1), 1-23, 2015",SpringerPlus,4,1,123
Selection problem of cloud solution for big data accessing: Fuzzy AHP-PROMETHEE as a proposed methodology.,2016,"Journal of Digital Information Management 14 (6), 2016",Journal of Digital Information Management,14,6,
