Article_Title,Year,Description,Revue,Volume,Number,Pages
One barrier reflected backward doubly stochastic differential equations with continuous generator,2009,"Comptes Rendus. Mathématique 347 (19-20), 1201-1206, 2009",Comptes Rendus. Mathématique,347,1920,12011206
General existence results for reflected BSDE and BSDE,2011,"Bulletin des Sciences Mathématiques 135 (5), 442-466, 2011",Bulletin des Sciences Mathématiques,135,5,442466
The multiplayer nonzero-sum Dynkin game in continuous time,2014,"SIAM Journal on Control and Optimization 52 (2), 821-835, 2014",SIAM Journal on Control and Optimization,52,2,821835
Existence and uniqueness of multidimensional BSDEs and of systems of degenerate PDEs with superlinear growth generator,2015,"SIAM Journal on Mathematical Analysis 47 (6), 4251-4288, 2015",SIAM Journal on Mathematical Analysis,47,6,42514288
Infinite dimensional BSDE with jumps,2002,"Taylor & Francis Group 20 (3), 519-565, 2002",Taylor & Francis Group,20,3,519565
On a general result for backward stochastic differential equations,2002,"Stochastics: An International Journal of Probability and Stochastic …, 2002","Stochastics: An International Journal of Probability and Stochastic …,",,,
The multi-player nonzero-sum Dynkin game in discrete time,2014,"Mathematical Methods of Operations Research 79 (2), 179-194, 2014",Mathematical Methods of Operations Research,79,2,179194
Stochastic quadratic BSDE with two RCLL obstacles,2015,"Stochastic Processes and their Applications 125 (6), 2147-2189, 2015",Stochastic Processes and their Applications,125,6,21472189
Generalized Snell envelope as a minimal solution of BSDE with lower barriers,2013,"Bulletin des Sciences Mathématiques 137 (4), 498-508, 2013",Bulletin des Sciences Mathématiques,137,4,498508
BSDE Approach for Dynkin Game and American Game Option,2016,"Statistical Methods and Applications in Insurance and Finance: CIMPA School …, 2016","Statistical Methods and Applications in Insurance and Finance: CIMPA School …,",,,
Doubly reflected BSDEs with stochastic quadratic growth: Around the predictable obstacles,2023,"Stochastic Processes and their Applications 163, 473-497, 2023",Stochastic Processes and their Applications,163,,473497
-Nash Equilibria of a Multi-player Nonzero-Sum Dynkin Game in Discrete Time,2023,"Dynamic Games and Applications, 1-23, 2023","Dynamic Games and Applications,",123,,
Backward Stochastic Evolution Inclusions in UMD Banach Spaces,2022,"arXiv preprint arXiv:2204.13389, 2022",arXiv preprint arXiv:,220413389,,
Reflected BSDE and reflected PDIE,2004,"Stochastic analysis and applications 22 (3), 559-587, 2004",Stochastic analysis and applications,22,3,559587
Design and implementation of a photovoltaic IV curve tracer: Solar modules characterization under real operating conditions,2018,"Energy Conversion and Management 169, 206-216, 2018",Energy Conversion and Management,169,,206216
In-situ evaluation of the early PV module degradation of various technologies under harsh climatic conditions: The case of Morocco,2019,"Renewable Energy 143, 1500-1518, 2019",Renewable Energy,143,,15001518
New method for extracting physical parameters of PV generators combining an implemented genetic algorithm and the simulated annealing algorithm,2019,"Solar Energy 194, 239-247, 2019",Solar Energy,194,,239247
Experimental investigation of the soiling effect on the performance of monocrystalline photovoltaic systems,2019,"Energy Procedia 157, 1011-1021, 2019",Energy Procedia,157,,10111021
"Evaluation, comparison and experimental validation of different PV power prediction models under semi-arid climate",2018,"Energy Conversion and Management 173, 476-488, 2018",Energy Conversion and Management,173,,476488
Experimental investigation and modeling of photovoltaic soiling loss as a function of environmental variables: A case study of semi-arid climate,2021,"Solar Energy Materials and Solar Cells 221, 110874, 2021",Solar Energy Materials and Solar Cells,221,,110874
Modeling and experimental investigation of dust effect on glass cover PV module with fixed and tracking system under semi-arid climate,2021,"Solar Energy Materials and Solar Cells 230, 111219, 2021",Solar Energy Materials and Solar Cells,230,,111219
Developing a cleaning strategy for hybrid solar plants PV/CSP: Case study for semi-arid climate,2021,"Energy 228, 120565, 2021",Energy,228,,120565
A PVT cooling system design and realization: temperature effect on the PV module performance under real operating conditions,2019,"International Journal of Renewable Energy Research 13, 2019",International Journal of Renewable Energy Research,13,,
In-situ inspection and measurement of degradation mechanisms for crystalline and thin film PV systems under harsh climatic conditions,2019,"Energy Procedia 157, 1210-1219, 2019",Energy Procedia,157,,12101219
Experimental investigation of potential induced degradation (PID) impact and recovery on crystalline photovoltaic systems,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
Degradation and performance analysis of a monocrystalline PV system without EVA encapsulating in semi-arid climate,2020,"Heliyon 6 (6), 2020",Heliyon,6,6,
Experimental evaluation of performance drop for crystalline photovoltaic modules affected by snail trails defect,2018,"2018 International Conference on Photovoltaic Science and Technologies …, 2018",,2018,,
Long-term experiment on p-type crystalline PV module with potential induced degradation: Impact on power performance and evaluation of recovery mode,2022,"Renewable Energy 183, 472-479, 2022",Renewable Energy,183,,472479
Thermal production and heat cost analysis of the potential of solar concentrators for industrial process applications: A case study in six sites in Morocco,2021,"Scientific African 12, e00765, 2021",Scientific African,12,,00765
Design of a new photovoltaic panel cooling system to optimize its electrical efficiency,2017,"2016 International Renewable and Sustainable Energy Conference (IRSEC), 623 …, 2017",,2016,,623
Dust Accumulation and Photovoltaic Performance in Semi-Arid Climate: Experimental Investigation and Design of Cleaning Robot,2021,"Advanced Technologies for Solar Photovoltaics Energy Systems, 47-74, 2021","Advanced Technologies for Solar Photovoltaics Energy Systems,",4774,,
Evaluation of different PV prediction models. Comparison and experimental validation with one-year measurements at ground level,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
"Performance assessment of SARIMA, MLP and LSTM models for short-term solar irradiance prediction under different climates in Morocco",2023,"International Journal of Ambient Energy 44 (1), 334-350, 2023",International Journal of Ambient Energy,44,1,334350
Temperature influence on performance of a solar cell receiving direct sunlight and a halogen lamp irradiation,2017,"2016 International Renewable and Sustainable Energy Conference (IRSEC), 218 …, 2017",,2016,,218
Two New HATNet Hot Jupiters around A Stars and the First Glimpse at the Occurrence Rate of Hot Jupiters from TESS∗,2019,"The Astronomical Journal 158 (4), 141, 2019",The Astronomical Journal,158,4,141
Power and duration of impact flashes on the Moon: Implication for the cause of radiation,2012,"Icarus 218 (1), 115-124, 2012",Icarus,218,1,115124
"Study of the Plutino Object (208996) 2003 AZ84 from Stellar occultations: size, shape, and topographic features",2017,"The Astronomical Journal 154 (1), 22, 2017",The Astronomical Journal,154,1,22
"Discovery of Three New Transiting Hot Jupiters: WASP-161 b, WASP-163 b, and WASP-170 b",2019,"The Astronomical Journal 157 (2), 43, 2019",The Astronomical Journal,157,2,43
"Lower atmosphere and pressure evolution on Pluto from ground-based stellar occultations, 1988–2016",2019,"Astronomy & Astrophysics 625, A42, 2019",Astronomy & Astrophysics,625,,42
Monitoring of the activity and composition of comets 41P/Tuttle–Giacobini–Kresak and 45P/Honda–Mrkos–Pajdusakova,2018,"Astronomy & Astrophysics 619, A156, 2018",Astronomy & Astrophysics,619,,156
Climatology of thermospheric neutral winds over Oukaïmeden Observatory in Morocco,2017,"Annales Geophysicae 35 (1), 161-170, 2017",Annales Geophysicae,35,1,161170
Constraints on the structure and seasonal variations of Triton’s atmosphere from the 5 October 2017 stellar occultation and previous observations,2022,"Astronomy & Astrophysics 659, A136, 2022",Astronomy & Astrophysics,659,,136
A helium P-Cygni profile in RR Lyrae stars?,2016,"Astronomy & Astrophysics 587, A134, 2016",Astronomy & Astrophysics,587,,134
Ionospheric and thermospheric response to the 27–28 February 2014 geomagnetic storm over north Africa,2018,"Annales Geophysicae 36 (4), 987-998, 2018",Annales Geophysicae,36,4,987998
First lunar flashes observed from Morocco (ILIAD Network): implications for Lunar seismology,2015,"Earth, Moon, and Planets 115, 1-21, 2015","Earth, Moon, and Planets",115,,121
Birth of meteor network in Morocco–Analysis for the 2012 Geminids,2013,"WGN, Journal of the International Meteor Organization 41 (4), 121-128, 2013","WGN, Journal of the International Meteor Organization",41,4,121128
"Qatar Exoplanet Survey: Qatar-8b, 9b, and 10b—A Hot Saturn and Two Hot Jupiters",2019,"The Astronomical Journal 157 (6), 224, 2019",The Astronomical Journal,157,6,224
"Stellar Occultations by Large TNOs on 2012: The February 3rd by (208996) 2003 AZ84, and the February 17th by (50000) Quaoar",2012,"AAS/Division for Planetary Sciences Meeting Abstracts# 44 44, 402.01, 2012",AAS/Division for Planetary Sciences Meeting Abstracts#,4444,,40201
Two transiting hot Jupiters from the WASP survey: WASP-150b and WASP-176b,2020,"The Astronomical Journal 159 (6), 255, 2020",The Astronomical Journal,159,6,255
Another shipment of six short-period giant planets from TESS,2023,"Monthly Notices of the Royal Astronomical Society 521 (2), 2765-2785, 2023",Monthly Notices of the Royal Astronomical Society,521,2,27652785
Assessment of the potential of the new Belgo-Moroccan telescope TRAPPIST-North for high-precision exoplanet transit photometry,2017,"Journal of Physics: Conference Series 869 (1), 012073, 2017",Journal of Physics: Conference Series,869,1,012073
"The Morocco Oukaimeden Sky Survey, the MOSS Telescope",2012,"Asteroids, Comets, Meteors 2012 1667, 6182, 2012","Asteroids, Comets, Meteors",20121667,,6182
RR Lyr Spectrophotometric Campaign from Oukaimeden Observatory,2018,"The RR Lyrae 2017 Conference. Revival of the Classical Pulsators: from …, 2018",The RR Lyrae,2017,,
Metallic line doubling in the spectra of the variable RR Lyrae star,2017,"Journal of Physics: Conference Series 869 (1), 012088, 2017",Journal of Physics: Conference Series,869,1,012088
Theoretical modeling and experimental studies of Terebinth extracts as green corrosion inhibitor for iron in 3% NaCl medium,2020,"Journal of King Saud University-Science 32 (7), 2995-3004, 2020",Journal of King Saud University-Science,32,7,29953004
"Identification of a novel dual-target scaffold for 3CLpro and RdRp proteins of SARS-CoV-2 using 3D-similarity search, molecular docking, molecular dynamics and ADMET evaluation",2021,"Journal of Biomolecular Structure and Dynamics 39 (12), 4522-4535, 2021",Journal of Biomolecular Structure and Dynamics,39,12,45224535
"In silico molecular investigations of pyridine N-Oxide compounds as potential inhibitors of SARS-CoV-2: 3D QSAR, molecular docking modeling, and ADMET screening",2022,"Journal of Biomolecular Structure and Dynamics 40 (1), 143-153, 2022",Journal of Biomolecular Structure and Dynamics,40,1,143153
"3D-QSAR modeling and molecular docking studies on a series of 2, 5 disubstituted 1, 3, 4-oxadiazoles",2017,"Journal of Molecular Structure 1145, 278-284, 2017",Journal of Molecular Structure,1145,,278284
"Furanone derivatives as new inhibitors of CDC7 kinase: development of structure activity relationship model using 3D QSAR, molecular docking, and in silico ADMET",2018,"Structural Chemistry 29, 1031-1043, 2018",Structural Chemistry,29,,10311043
"Combined 3D-QSAR and molecular docking study on 7, 8-dialkyl-1, 3-diaminopyrrolo-[3, 2-f] Quinazoline series compounds to understand the binding mechanism of DHFR inhibitors",2017,"Journal of Molecular Structure 1139, 319-327, 2017",Journal of Molecular Structure,1139,,319327
"In silico exploration of aryl halides analogues as checkpoint kinase 1 inhibitors by using 3D QSAR, molecular docking study, and ADMET screening",2019,"Advanced Pharmaceutical Bulletin 9 (1), 84, 2019",Advanced Pharmaceutical Bulletin,9,1,84
"3D QSAR studies, molecular docking and ADMET evaluation, using thiazolidine derivatives as template to obtain new inhibitors of PIM1 kinase",2018,"Computational Biology and Chemistry 74, 201-211, 2018",Computational Biology and Chemistry,74,,201211
"Synthesis, spectroscopic characterization (FT-IR, NMR) and DFT computational studies of new isoxazoline derived from acridone",2021,"Journal of Molecular Structure 1231, 129921, 2021",Journal of Molecular Structure,1231,,129921
"Synthesis, biological evaluation, molecular docking and in silico ADMET screening studies of novel isoxazoline derivatives from acridone",2021,"Arabian Journal of Chemistry 14 (4), 103057, 2021",Arabian Journal of Chemistry,14,4,103057
"QSAR study of new compounds based on 1, 2, 4-triazole as potential anticancer agents",2020,"Physical Chemistry Research 8 (1), 125-137, 2020",Physical Chemistry Research,8,1,125137
"Click synthesis, anticancer activity, and molecular docking investigation of some functional 1, 2, 3-triazole derivatives",2022,"Biointerface Research in Applied Chemistry, 2022, vol. 12, num. 6, p. 7633-7667, 2022","Biointerface Research in Applied Chemistry,",2022,,12
"Investigation of indirubin derivatives: a combination of 3D-QSAR, molecular docking, and ADMET towards the design of new DRAK2 inhibitors",2018,"Structural Chemistry 29, 1609-1622, 2018",Structural Chemistry,29,,16091622
"Computer aided drug design based on 3D-QSAR and molecular docking studies of 5-(1H-indol-5-yl)-1, 3, 4-thiadiazol-2-amine derivatives as PIM2 inhibitors: a proposal to chemists",2018,"In Silico Pharmacology 6, 1-14, 2018",In Silico Pharmacology,6,,114
QSAR study and rustic ligand-based virtual screening in a search for aminooxadiazole derivatives as PIM1 inhibitors,2018,"Chemistry Central Journal 12, 1-12, 2018",Chemistry Central Journal,12,,112
Combining DFT and QSAR studies for predicting psychotomimetic activity of substituted phenethylamines using statistical methods,2016,"Journal of Taibah University for Science 10 (6), 787-796, 2016",Journal of Taibah University for Science,10,6,787796
Combining DFT and QSAR studies for predicting psychotomimetic activity of substituted phenethylamines using statistical methods,2016,"Journal of Taibah University for Science 10 (6), 787-796, 2016",Journal of Taibah University for Science,10,6,787796
Chemical Profiling and Biological Properties of Essential Oils of Lavandula stoechas L. Collected from Three Moroccan Sites: In Vitro and In Silico Investigations,2023,"Plants 12 (6), 1413, 2023",Plants,12,6,1413
"Prediction of biological activity of pyrazolo [3, 4-b] quinolinyl acitamide by qsar results",2018,"RHAZES: Green and Applied Chemistry 3 (3), 79-93, 2018",RHAZES: Green and Applied Chemistry,3,3,7993
Molecular docking and 3D-QSAR studies on 7-azaindole derivatives as inhibitors of Trk a: a strategic design in novel anticancer agents,2018,"Letters in Drug Design & Discovery 15 (11), 1211-1223, 2018",Letters in Drug Design & Discovery,15,11,12111223
"Electrical and seismic tomography used to image the structure of a tailings pond at the abandoned Kettara mine, Morocco",2012,"Near Surface Geoscience 2012–18th European Meeting of Environmental and …, 2012",Near Surface Geoscience,201218,,
"Modélisation magnétique de la suture ophiolitique de Bou Azzer–El Graara (Anti-Atlas central, Maroc). Implications sur la reconstitution géodynamique panafricaine",2006,"Comptes Rendus Geoscience 338 (3), 153-160, 2006",Comptes Rendus Geoscience,338,3,153160
Cartographie de corps stériles sous couverture quaternaire par méthode de résistivités électriques dans le gisement phosphaté de Sidi Chennane (Maroc),2002,"Comptes Rendus Geoscience 334 (6), 379-386, 2002",Comptes Rendus Geoscience,334,6,379386
"Gravity and magnetic investigations in the Haouz basin, Morocco. Interpretation and mining implications",2010,"Journal of African Earth Sciences 58 (2), 331-340, 2010",Journal of African Earth Sciences,58,2,331340
Contribution de la gravimétrie à l'étude de la structure du bassin de Tadla (Maroc): Implications hydrogéologiques,2006,"Comptes Rendus Geoscience 338 (10), 676-682, 2006",Comptes Rendus Geoscience,338,10,676682
Basement structure of southern Tunisia as determined from the analysis of gravity data: implications for petroleum exploration,2012,"Petroleum Geoscience 18 (2), 143-152, 2012",Petroleum Geoscience,18,2,143152
Crustal structure of the NW Moroccan margin from deep seismic data (SISMAR Cruise),2009,"Comptes Rendus Geoscience 341 (6), 495-503, 2009",Comptes Rendus Geoscience,341,6,495503
Imagerie combinée géoélectrique–radar géologique des cavités souterraines de la ville de Zaouit Ech Cheikh (Maroc),2007,"Comptes Rendus Geoscience 339 (7), 460-467, 2007",Comptes Rendus Geoscience,339,7,460467
"A contribution of airborne magnetic, gamma ray spectrometric data in understanding the structure of the Central Jebilet Hercynian massif and implications for mining",2017,"Journal of African Earth Sciences 134, 389-403, 2017",Journal of African Earth Sciences,134,,389403
Les sondages électromagnétiques temporels comme outil de reconnaissance du gisement phosphaté de Sidi Chennane (Maroc): Apport à la résolution d'un problème d'exploitation,2006,"Comptes Rendus Geoscience 338 (5), 289-296, 2006",Comptes Rendus Geoscience,338,5,289296
Geophysical Prospecting for Groundwater Resources in Phosphate Deposits (Morocco),2020,"Minerals 10 (842), 2020",Minerals,10,842,
"Mapping mafic dyke swarms, structural features, and hydrothermal alteration zones in Atar, Ahmeyim and Chami areas (Reguibat Shield, Northern Mauritania) using high-resolution …",2020,"Journal of African Earth Sciences 163, 103749, 2020",Journal of African Earth Sciences,163,,103749
A ground penetrating radar and electrical resistivity tomography prospection for detecting sterile bodies in the phosphatic bearing of Sidi Chennane (Morocco),2011,"International Journal of Geosciences 2 (04), 406, 2011",International Journal of Geosciences,2,04,406
Contribution of the gravimetry to the structural study of the Haouz basin (Morocco); Apport de la gravimetrie a l'etude de la structure du bassin du Haouz (Maroc),2010,,,,,
"Magnetic modelling of the Bon Azzer-El Graara ophiolite (central Anti-Atlas, Morocco). Geodynamic implications of the Panafrican reconstruction",2006,"Comptes Rendus Geoscience 338 (3), 153-160, 2006",Comptes Rendus Geoscience,338,3,153160
Contribution à l'étude d'une partie du bassin d'Essaouira (Maroc) par sismique réflexion,2002,"Comptes Rendus Geoscience 334 (4), 229-234, 2002",Comptes Rendus Geoscience,334,4,229234
"Géométrie de l’aquifère du Haouz oriental et Tassaout amont, Maroc occidental: approche géophysique et hydrogéologique",2015,"Hydrological Sciences Journal 60 (1), 133-144, 2015",Hydrological Sciences Journal,60,1,133144
Reconnaissance de cavités souterraines par tomographie électrique et radar géologique dans le centre ville de Béni-Mellal (Maroc),2006,"Bulletin des laboratoires des ponts et chaussées 260, 83-89, 2006",Bulletin des laboratoires des ponts et chaussées,260,,8389
A tentative chronology of the Moho undulations in the Celtic sea region,1998,"Journal of Geodynamics 27 (2), 161-174, 1998",Journal of Geodynamics,27,2,161174
"Phosphatic series under Plio-Quaternary cover of Tadla Plain, Morocco: Gravity and seismic data",2019,"Comptes Rendus Geoscience 351 (6), 420-429, 2019",Comptes Rendus Geoscience,351,6,420429
Feedback stabilization of a class of evolution equations with delay,2009,"Journal of Evolution Equations 9, 103-121, 2009",Journal of Evolution Equations,9,,103121
Almost periodic solutions to some semilinear non-autonomous thermoelastic plate equations,2009,"Journal of Mathematical Analysis and Applications 349 (1), 74-84, 2009",Journal of Mathematical Analysis and Applications,349,1,7484
Almost automorphic solutions for hyperbolic semilinear evolution equations,2005,"Semigroup Forum 71, 231-240, 2005",Semigroup Forum,71,,231240
Almost automorphy of semilinear parabolic evolution equations.,2008,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …, 2008",Electronic Journal of Differential Equations (EJDE)[electronic only],2008,,
Controllability of semilinear boundary problems with nonlocal initial conditions,2006,"Journal of mathematical analysis and applications 316 (2), 566-578, 2006",Journal of mathematical analysis and applications,316,2,566578
Wellposedness and asymptotic behaviour of non-autonomous boundary Cauchy problems,2006,"Walter de Gruyter 18 (4), 611-638, 2006",Walter de Gruyter,18,4,611638
Robustness of controllability under some unbounded perturbations,2005,"Journal of mathematical analysis and applications 304 (1), 409-421, 2005",Journal of mathematical analysis and applications,304,1,409421
Approximate positive controllability of positive boundary control systems,2014,"Positivity 18, 375-393, 2014",Positivity,18,,375393
The modulus semigroup for linear delay equations,2004,"Positivity 8 (1), 1-9, 2004",Positivity,8,1,19
The asymptotic behaviour of perturbed evolution families,2002,,,,,
Exponential energy decay of some coupled second order systems,2013,"Semigroup Forum 86, 362-382, 2013",Semigroup Forum,86,,362382
Almost automorphic solutions for semilinear boundary differential equations,2006,"Proceedings of the American Mathematical Society 134 (12), 3613-3624, 2006",Proceedings of the American Mathematical Society,134,12,36133624
Sufficient and necessary conditions for the solvability of the state feedback regulation problem,2014,"International Journal of Robust and Nonlinear Control 24 (17), 2958-2973, 2014",International Journal of Robust and Nonlinear Control,24,17,29582973
Non-autonomous retarded differential equations: the variation of constants formulas and the asymptotic behaviour.,2003,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2003 …, 2003",Electronic Journal of Differential Equations (EJDE)[electronic only],2003,,
Stabilization of coupled second order systems with delay,2010,"arXiv preprint arXiv:1010.3636, 2010",arXiv preprint arXiv:,10103636,,
Robust multivariable PI-controllers for linear systems in Banach state spaces,2009,"Journal of mathematical analysis and applications 349 (1), 90-99, 2009",Journal of mathematical analysis and applications,349,1,9099
Mathematical analysis of a PDE epidemiological model applied to scrapie transmission,2008,"Communications on Pure and Applied Analysis 7 (3), 659, 2008",Communications on Pure and Applied Analysis,7,3,659
Critical spectrum and stability for population equations with diffusion in unbounded domains,2005,"Discrete and Continuous Dynamical Systems-B 5 (2), 265-276, 2005",Discrete and Continuous Dynamical Systems-B,5,2,265276
Error feedback regulation problem for regular linear systems,2018,"IMA Journal of Mathematical Control and Information 35 (1), 315-339, 2018",IMA Journal of Mathematical Control and Information,35,1,315339
Constrained approximate controllability of boundary control systems,2016,"IMA Journal of Mathematical Control and Information 33 (3), 669-683, 2016",IMA Journal of Mathematical Control and Information,33,3,669683
Vestibular schwannomas,2021,"New England Journal of Medicine 384 (14), 1335-1348, 2021",New England Journal of Medicine,384,14,13351348
Primary lymphoma of the head and neck: two case reports and review of the literature,2008,"Cases Journal 1 (1), 1-5, 2008",Cases Journal,1,1,15
Systemic treatment and targeted therapy in patients with advanced hepatocellular carcinoma,2011,"North American journal of medical sciences 3 (4), 167, 2011",North American journal of medical sciences,3,4,167
Esophageal carcinoma,2015,"N Engl J Med 372 (15), 1470-1471, 2015",N Engl J Med,372,15,14701471
Hepatocellular carcinoma and high grade neuroendocrine carcinoma: a case report and review of the literature,2011,"World Journal of Oncology 2 (1), 37, 2011",World Journal of Oncology,2,1,37
Thyroid carcinoma presenting as a dural metastasis mimicking a meningioma: A case report,2011,"North American Journal of Medical Sciences 3 (1), 39, 2011",North American Journal of Medical Sciences,3,1,39
Pituitary metastasis of rhabdomyosarcoma: a case report and review of the literature,2014,"Journal of Medical Case Reports 8 (1), 1-4, 2014",Journal of Medical Case Reports,8,1,14
Advanced treatments in non-clear renal cell carcinoma.,2011,"Urology Journal 8 (1), 2011",Urology Journal,8,1,
Successful management of retinal metastasis from renal cancer with everolimus in a monophthalmic patient: a case report,2017,"Journal of medical case reports 11 (1), 1-4, 2017",Journal of medical case reports,11,1,14
Primary non Hodgkin’s lymphoma of the orbit: A case report,2011,"Med Case Stud 2 (2), 19-21, 2011",Med Case Stud,2,2,1921
The role of chemotherapy in the treatment of Kaposi’s sarcoma,2011,"J Cancer Sci Ther 3, 145-8, 2011",J Cancer Sci Ther,3,,1458
Solitary fibrous tumor: Case report of intrapulmonary location,2018,"Case Reports in Oncological Medicine 2018, 2018",Case Reports in Oncological Medicine,2018,,
Malignant schwannoma of the infratemporal fossa: a case report,2015,"Journal of Medical Case Reports 9 (1), 1-5, 2015",Journal of Medical Case Reports,9,1,15
Metastatic collecting duct carcinoma of the kidney treated with sunitinib,2011,"World journal of surgical oncology 9 (1), 1-3, 2011",World journal of surgical oncology,9,1,13
Splenic abscess in cancer chemotherapy,2015,"BMC Research Notes 8 (1), 1-3, 2015",BMC Research Notes,8,1,13
HER2-Positive Metastatic Breast Cancer: Available Treatments and Current Developments,2023,"Cancers 15 (6), 1738, 2023",Cancers,15,6,1738
Rare recurrence of a rare ovarian stromal tumor with luteinized cells: a case report,2011,"Journal of Medical Case Reports 5 (1), 1-4, 2011",Journal of Medical Case Reports,5,1,14
Histoplasmose sacrée dix ans après un lymphome non hodgkinien du sacrum: À propos d’un cas,2009,"Cancer/Radiothérapie 13 (4), 337-339, 2009",Cancer/Radiothérapie,13,4,337339
What does it take to conduct clinical trials in African countries? Insights from Morocco,2022,"ecancermedicalscience 16, 2022",ecancermedicalscience,16,,
Radiation-induced chondrosarcoma of the scapula after radiotherapy for lung cancer: a case report and review of the literature,2018,"Journal of Medical Case Reports 12 (1), 1-5, 2018",Journal of Medical Case Reports,12,1,15
Drying characteristics and kinetics solar drying of Mediterranean mussel (mytilus galloprovincilis) type under forced convection,2020,"Renewable Energy 147, 833-844, 2020",Renewable Energy,147,,833844
"Investigation of hygroscopic equilibrium and modeling sorption isotherms of the argan products: A comparative study of leaves, pulps, and fruits",2019,"Food and Bioproducts Processing 114, 12-22, 2019",Food and Bioproducts Processing,114,,1222
Energy and exergy analyses of carob pulp drying system based on a solar collector,2021,"Renewable Energy 163, 495-503, 2021",Renewable Energy,163,,495503
Application of solar drying on the apple peels using an indirect hybrid solar-electrical forced convection dryer,2021,"Renewable Energy 168, 131-140, 2021",Renewable Energy,168,,131140
Recent advances in environmental science from the Euro-Mediterranean and surrounding regions: proceedings of Euro-Mediterranean Conference for Environmental Integration (EMCEI …,2018,"Springer International Publishing, 2018","Springer International Publishing,",,,
Drying kinetics and energy analysis of carob seeds (Ceratonia siliqua L.) convective solar drying,2022,"Journal of Thermal Analysis and Calorimetry, 1-11, 2022","Journal of Thermal Analysis and Calorimetry,",111,,
Water sorption isotherms and drying characteristics of rupturewort (Herniaria hirsuta) during a convective solar drying for a better conservation,2020,"Solar Energy 201, 916-926, 2020",Solar Energy,201,,916926
Exploring drying kinetics and energy exergy performance of Mytilus Chilensis and Dosidicus gigas undergoing microwave treatment,2020,"Heat and Mass Transfer 56, 2985-2999, 2020",Heat and Mass Transfer,56,,29852999
Physicochemical study of the conservation of Moroccan anchovies by convective solar drying,2020,"Renewable Energy 152, 44-54, 2020",Renewable Energy,152,,4454
Moisture sorption measurements and Thermophysical characterization of the Taraxacum officinale leaves and root,2020,"Heat and Mass Transfer 56, 2065-2077, 2020",Heat and Mass Transfer,56,,20652077
Cyclical variation of drying air temperature on Mytilus galloprovincialis convective drying,2020,"Solar Energy 211, 1070-1083, 2020",Solar Energy,211,,10701083
The characterization and modeling kinetics for drying of taraxacum officinale leaves in a thin layer with a convective solar dryer,2019,"Proceedings of the 1st International Conference on Electronic Engineering …, 2019",Proceedings of the,1,,
Evaluation of the influence of ambient air temperature and air velocity on mortar cement durability using a forced convection solar dryer,2022,"International Journal of Building Pathology and Adaptation 40 (4), 462-480, 2022",International Journal of Building Pathology and Adaptation,40,4,462480
Exploring the sorption and thermodynamic proprieties of white truffle (Terfezia boudieri),2021,"Journal of Food Process Engineering 44 (12), e13888, 2021",Journal of Food Process Engineering,44,12,13888
Investigating the impact of drying parameters on the dandelion root using full factorial design of experiments,2019,"International Journal of Sustainable Agricultural Management and Informatics …, 2019","International Journal of Sustainable Agricultural Management and Informatics …,",,,
The determination of moisture sorption isotherms and the isosteric heat of sorption for irradiated and non-irradiated durum wheat,2020,"Moroccan Journal of Chemistry 8 (4), 8-1 (2020) 853-365, 2020",Moroccan Journal of Chemistry,8,4,812020853365
Modeling the solar drying of dandelion leaves by factorial experimental design,2019,"Euro-Mediterranean Journal for Environmental Integration 4, 1-7, 2019",Euro-Mediterranean Journal for Environmental Integration,4,,17
The experimental study and modeling the drying kinetics of mediterranean mussel (mytilus galloprovincilis) type by convective solar energy,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
Experimental study of the impact of drying parameters on dandelion root by a solar dryer,2019,"Advanced Intelligent Systems for Sustainable Development (AI2SD’2018) Vol 2 …, 2019",Advanced Intelligent Systems for Sustainable Development (AI,220182,,
"Evaluating water sorption isotherms, drying kinetics and exergy performance of traditionally earth mortar drying system based on hybrid solar-electrical dryer",2022,"International Journal of Building Pathology and Adaptation, 2022","International Journal of Building Pathology and Adaptation,",,,
Calcium monofluorophosphate: a new class of corrosion inhibitors in NaCl medium,2004,"Journal of Electroanalytical Chemistry 569 (1), 1-6, 2004",Journal of Electroanalytical Chemistry,569,1,16
Removal of Remazol Blue 19 from wastewater by zinc–aluminium–chloride-layered double hydroxides,2013,"Applied Water Science 3, 431-438, 2013",Applied Water Science,3,,431438
Structure of Ni (H2O) 6 (NH4) 2 (PO3F) 2,1992,"Acta Crystallographica Section C: Crystal Structure Communications 48 (7 …, 1992",Acta Crystallographica Section C: Crystal Structure Communications,48,7,
Structure de monofluorophosphate de cobalt trihydraté,1987,"Acta Crystallographica Section C: Crystal Structure Communications 43 (4 …, 1987",Acta Crystallographica Section C: Crystal Structure Communications,43,4,
Removal of textile dye acid green 1 from wastewater by activated carbon,2017,"Journal of Materials and Environmental Sciences 8 (9), 3121-3130, 2017",Journal of Materials and Environmental Sciences,8,9,31213130
